Text,Sentiment
"khi học thì sẽ được học những gì",4
"Khi học thì được học những gì",4
"Chương trình có bao nhiêu phần cần tìm hiểu",4
"Có những chuyên ngành nào",4
"Phương thức học ra sao",4
"Học về chuyên môn nào",4
"chương trình đào tạo thì như thế nào",4
"ngành khoa học máy tính dạy những môn gì",4
"những môn học của ngành này là gì",4
"ngành này học những môn nào",4
"chương trình học thì như thế nào",4
"chương trình đại cương bao gồm những gì",41
"học đại cương là học những môn nào",41
"có bao nhiêu tín chỉ học đại cương",41
"bao nhiêu môn học đại cương",41
"chương trình đại cương bao gồm những môn nào",41
"những môn học nào là chương trình đại cương",41
"khối kiến thức đại cương có những môn gì",41
"môn học đại cương",41
"chương trình đại cuong bao gồm những môn học nào",41
"danh sách những môn học thuộc chương trình đại cương",41
"những môn cơ sở ngành là gì",42
"khối kiến thức cơ sở ngành học những môn gì",42
"những môn nào là môn cơ sở ngành",42
"môn cơ sở ngành",42
"những môn học nào thuộc khối kiến thức cơ sở ngành",42
"cơ sở ngành có những môn học nào",42
"cơ sở ngành thì học những môn gì",42
"có những môn nào trong khối kiến thức cơ sở ngành",42
"những môn học liên quan đến cơ sở ngành là như thế nào",42
"có bao nhiêu môn học trong cơ sở ngành",42
"môn chuyên ngành",43
"chuyên ngành học cái gì",43
"chuyên ngành học những môn nào",43
"những môn nào là chuyên ngành",43
"vào chuyên ngành thì được học cái gì",43
"chuyên ngành có bao nhiêu môn",43
"vô chuyên ngành thì học những môn gì",43
"môn học thuộc chuyên ngành của ngành khoa học máy tính là gì",43
"ngành khoa học máy tính có những môn chuyên ngành nào",43
"ngành này học những chuyên môn gì",43
"có tất cả bao nhiêu môn học chuyên ngành",43
"kỹ năng sau khi ra trường",44
"sau khi ra trường có thể có được những kỹ năng gì",44
"sau khi ra trường sẽ học được những kỹ năng gì",44
"kỹ năng có được khi học ngành này là gì",44
"học xong thì có được kỹ năng gì",44
"em sẽ có được kỹ năng gì khi học xong",44
"những kỹ năng mà em có được khi ra trường là gì",44
"học ngành khoa học máy tính xong thì em có thể làm được gì",44
"kỹ năng mà em có được khi học ngành này là gì",44
"ngành này dạy nhũng kỹ năng gì",44
"học ngành này mấy năm",45
"học ngành này trong bao lâu",45
"học ngành này trong bao nhiêu năm",45
"Học khoảng thời gian bao lâu",45
"Thời gian cần để hoàn thành được việc đào tạo",45
"Học bao nhiêu học kỳ",45
"năm có bao nhiêu học kỳ",45
"Học mấy năm",45
"Nếu học đại học thì khoảng mấy năm",45
"một năm có bao nhiêu học kỳ",46
"học bao nhiêu học kỳ",46
"học kỳ ở đại học có giống với lúc học phổ thông không",46
"một năm học có hai học kỳ phải không",46
"một năm học có mấy học kỳ",46
"học phí",47
"chi phí học là bao nhiêu",47
"Tiền học",47
"Học phí của ngành là bao nhiêu",47
"Học phí ra sao",47
"chương trình đào tạo bao nhiêu năm",47
"Chi phí đào tạo như thế nào",47
"mức học phí của ngành này có cao không",47
"có được nghỉ hè không",48
"hè có được nghỉ không",48
"nghỉ hè được bao lâu",48
"học suốt luôn hay có được nghỉ không",48
"em muốn học thêm hè thì có được không",48
"một năm học có bao gồm học kỳ hè không",48
"hè có có bắt buộc học không hay được nghỉ",48
"học đại học có học kỳ hè không",48
"nếu hè thì có được nghỉ không",48
"nếu hè có học mà em nghỉ thì có sao không",48
"học đại học có được nghỉ hè như lúc học phổ thông không",48
"học ngành này có được nghỉ hè không",48
"chương trình đào tạo có quá khó không",49
"chương trình học có khó không",49
"ngành này có khó học không",49
"ngành tốn thời gian học đúng không",49
"có yêu cầu kỹ năng giao tiếp không",49
"có khó không để học được ngành",49
"ngành này có dễ học không",49
"học ngành khoa học máy tính có đơn giản không",49
"chương trình học như thế này thì có khó quá để học không",49
