Text,Sentiment
"tỉ lệ chọi",2
"tỷ lệ cạnh tranh vào trường cao hay thấp",2
"chỉ tiêu ngành thế nào",2
"tỷ lệ chọi là bao nhiêu",2
"chỉ tiêu năm trước là bao nhiêu",2
"chỉ tiêu năm nay là bao nhiêu",2
"ngành này năm nay lấy chỉ tiêu bao nhiêu",2
"chỉ tiêu của ngành này năm nay là bao nhiêu",2
"tỷ lệ chọi của ngành này năm nay là cao hay thấp",2
"tỷ lệ cạnh tranh vào ngành này năm nay có cao không",2
"chỉ tiêu của ngành này năm nay là bao nhiêu",2
"năm nay lấy chỉ tiêu có thấp không",2
"ngành này yêu cầu điểm sàn và điểm chuẩn cao không",21
"điểm sàn để vào được ngành này là bao nhiêu",21
"điểm trung bình bao nhiêu là đậu",21
"điểm sàn",21
"điểm đầu vào năm trước là bao nhiêu",21
"điểm đầu vào có cao không",21
"điểm chuẩn là bao nhiêu",21
"tổ hơp xét tuyển cho ngành này là gì",22
"cần thi những khối nào",22
"gồm những khối thi nào",22
"khối C và khối D có xét tuyển ngành này không",22
"khối thi của ngành này là gì",22
"ngành này thi những khối nào",22
"ngành này thi những môn nào",22
"ngành khoa học máy tính thi những môn nào",22
"ngành ứng dụng được những lĩnh vực nào",3
"đã có những ứng dụng kỹ thuật nào nổi trội",3
"học xong có thể có những kỹ năng nào",3
"Ngành đó đào tạo về những kĩ năng gì",3
"ngành đào tạo những gì",3
"Ngành khoa học máy tính là gì",3
"khoa học máy tính được chia làm mấy mảng",3
"Ngành này học về cái gì",3
"Ngành này học về nội dung gì",3
"Ngành này học những gì",3
