Text,Sentiment
"nếu em không biết gì về máy tính thì có thi được không",9
"em không giỏi về tiếng anh và sử dụng máy tính cũng không tốt lắm thì có thi được không",9
"có yêu cầu kiến thức nền tảng về máy tính trước không",9
"nếu em không biết gì về máy tính có thi được không",9
"có được luyện lại từ đầu để lấy căn bản không hay học tới tới luôn",9
"có yêu cầu kiến thức nền tảng về máy tính trước không",9
"khi học ngành máy tính em cần những kĩ năng gì",9
"ngành đòi hỏi tố chất gì",9
"ngành này con gái học ổn không",91
"em là nữ thì có học được không",91
"là nữ thì học ngành này có được không",91
"tỷ lệ nam và nữ của ngành là bao nhiêu",91
"em không phải là nam thì có được học ngành không",91
"số lượng nam so với nữ trong ngành này",91
"ngành này con gái học có nhiều không",91
"học ngành này có bắt buộc phải là con trai không",91
"nếu em không phải là con trai thì có học được ngành không",91
"em là nữ thì có khó khăn gì khi học ngành này không",91
"có cần phải có máy tính mới có thể học được các ngành",92
"em không có máy tính thì có thể học được ngành này không",92
"nhà em không có điều kiện mua máy tính thì có học được không",92
"có bắt buộc phải có máy tính mới được học ngành này không",92
"không có máy tính thì học bằng cách nào",92
"máy tính có cần thiết không để được học ngành này",92
"em không có laptop mà có máy tính bàn thì có học được không",92
"em có máy tính bàn thì có cần mua thêm laptop để đi học không",92
"ngành khoa học máy tính sau này có bị lạc hậu không",93
"mức độ hot của ngành khoa học máy tính",93
"ngành này thời gian sắp tới có bị lỗi thời không",93
"bây giờ em học thì lúc ra trường có bị lỗi thời không",93
"sau khoảng vài năm nữa thì ngành này có bị lạc hậu không",93
"ngành này theo thời gian có bị lỗi thời không",93
"bây giờ thì ngành đang hot nhưng nếu lúc em ra trường thì có còn hot nữa không",93
"có bị lạc hậu không khi học ngành này",93
"có phù hợp ở môi trường nông thôn không",94
"em ở tỉnh lẻ thì có học được ngành này không",94
"nhà em ở ngoại ô thì có phù hợp với ngành không",94
"ngành này có thể làm việc ở nông thôn không",94
"công việc có phù hợp để làm ở ngoài tỉnh không",94
"khi học ngành đó có được ưu tiên gì không ",95
"học ngành này thì được những lợi thế nào",95
"những lợi thế khi học ngành này",95
"ưu tiên khi được học ngành khoa học máy tính",95
"lợi thế có được khi học ngành này là gì",95
"khi học ngành này thì em có được lợi thế gì không",95
"ưu tiên của em là gì khi học ngành này",95
"em có cơ hội tiếp xúc với nhiều cái công nghệ mới không",95
"em có được tiếp cận với những công nghệ mới không khi học ngành này",95
"môi trường học tập có khô khan không",96
"chương trình học có quá nhàm chán không",96
"em nghe nói ngành này học chuyên về toán vậy lúc học có quá khôn khan không",96
"môi trường học chỉ có lập trình thì có nhàm chán quá không",96
"ngành này học có khô khan quá không",96
"giữa ngành công nghệ thông tin và khoa học máy tính thì ngành nào có tỉ lệ việc làm cao hơn",97
"nếu so sánh ngành công nghệ thông tin và khoa học máy tính thì ngành nào dễ xin việc hơn",97
"tỷ lệ có việc làm của ngành này so với những ngành khác thì như thế nào",97
"nếu so sánh ngành này với những ngành khác thì tỷ lệ có việc làm là bao nhiêu",97
"so sánh giữa ngành này và những ngành khác thì tỷ lệ có việc làm có cao không",97
"tỷ lệ có việc làm của ngành này có cao hơn những ngành khác không",97
"ngành này có học cao đẳng không",98
"ngành này có đào tạo trình độ cao đẳng không",98
"em không đủ điểm học ngành này bậc đại học vậy ngành này có đào tạo cao đẳng không",98
"ngành này học cao đẳng có học được không",98
"cao đẳng có học được ngành khoa học máy tính không",98
"ngoài đại học ra thì ngành khoa học máy tính có đào tạo hệ cao đẳng không",98
"ngành này có đào tạo cao đẳng không",98
"liệu các em học sinh nữ có khó khăn gì khi theo học ngành này không",910
"em là nữ thì học ngành này có gặp khó khăn gì không",910
"những khó khăn trong học tập khi là con gái",910
"là nữ thì sẽ gặp những khó khăn nào khi học ngành này",910
"em là con gái thì học ngành này có gặp bất lợi gì không",910
"những bất lợi trong học tập khi là nữ",910
"nếu là con gái thì sẽ gặp những bất lợi gì khi học ngành này",910
"giới tính nữ thì sẽ gặp khó khăn gì khi học",910
"những khó khăn thường gặp trong quá trình học tập",910
