Text,Sentiment
"trường có ký túc xá không",6
"trường có hỗ trợ chỗ ở không",6
"ký túc xá trường như thế nào",6
"ký túc xá trường ra sao",6
"ký túc xá giá cả ra sao",6
"trường có hỗ trợ ký túc xá không",6
"ký túc xá của trường có lớn không",6
"ra trường làm việc lương bao nhiêu",7
"Mức lương ra trường sao với các ngành khác",7
"tiền lương ngành này có ok không",7
"mức thu nhập bao nhiêu",7
"tỷ lệ thấp nghiệp của ngành có cao hay không",7
"tỷ lệ việc làm có cao không",7
"Mức lương cơ bản khi ra trường",7
"Vừa ra trường thì lương cơ bản là bao nhiêu",7
"Mức lương trung bình có thể nhận được khi làm ngành này là bao nhiêu",7
"Lương trung bình của sinh viên sau khi ra trường",7
"lương khỏi điểm đa số của ngành khi học xong",7
"tỉ lệ có việc làm đúng ngành nghề sau khi ra trường là bao nhiêu",7
"nếu học xong muốn xin học bổng làm như thế nào",8
"nếu học xong muốn xin học bổng du học làm như thế nào",8
"có được nhận học bổng không",8
"làm cách nào để được nhận học bổng",8
"trường có phát học bổng không",8
"học giỏi có được học bổng không",8
"điều kiện nào để được nhận học bổng",8
"nhà em nghèo quá có được nhận học bổng không",8
"em muốn nhận học bổng thì cần điều kiện gì",8
"em học giỏi và muốn được nhận học bổng thì phải làm sao",8
